iter	Passed	Remaining
0	3	1194
1	7	1120
2	11	1102
3	14	1086
4	18	1081
5	21	1070
6	25	1066
7	28	1058
8	32	1050
9	36	1046
10	39	1041
11	43	1045
12	47	1038
13	50	1034
14	54	1026
15	57	1029
16	61	1025
17	65	1018
18	68	1015
19	72	1012
20	75	1008
21	79	1004
22	83	1000
23	86	997
24	90	994
25	93	989
26	97	985
27	101	981
28	104	976
29	108	972
30	111	967
31	114	962
32	118	960
33	122	957
34	125	953
35	129	948
36	133	946
37	136	942
38	140	938
39	143	934
40	147	930
41	151	927
42	154	923
43	158	919
44	161	915
45	165	912
46	168	908
47	172	905
48	175	900
49	179	898
50	183	894
51	186	891
52	190	887
53	194	884
54	197	879
55	200	875
56	204	871
57	208	868
58	211	864
59	215	860
60	218	857
61	222	853
62	225	849
63	229	845
64	232	842
65	236	838
66	240	834
67	243	830
68	247	828
69	251	826
70	255	823
71	259	820
72	263	818
73	266	815
74	270	812
75	274	808
76	277	804
77	281	800
78	284	796
79	288	792
80	291	788
81	295	784
82	298	781
83	302	777
84	305	773
85	309	769
86	312	765
87	316	761
88	319	758
89	323	754
90	326	750
91	330	746
92	333	742
93	337	739
94	340	735
95	344	731
96	347	728
97	351	724
98	354	720
99	358	716
100	361	712
101	365	709
102	369	705
103	372	702
104	376	698
105	379	694
106	382	690
107	386	687
108	389	683
109	393	679
110	397	676
111	400	672
112	404	668
113	407	665
114	411	661
115	414	658
116	418	654
117	421	650
118	425	647
119	429	643
120	432	640
121	436	636
122	439	632
123	443	628
124	446	625
125	450	621
126	453	617
127	457	614
128	460	610
129	464	607
130	467	603
131	471	599
132	474	595
133	478	592
134	481	588
135	485	585
136	488	581
137	492	578
138	496	574
139	499	570
140	503	567
141	506	563
142	510	559
143	513	556
144	517	552
145	520	549
146	524	545
147	527	541
148	531	538
149	535	535
150	538	531
151	542	527
152	545	524
153	549	520
154	552	516
155	555	513
156	559	509
157	563	506
158	566	502
159	570	498
160	573	495
161	577	491
162	580	488
163	584	484
164	587	480
165	591	477
166	594	473
167	598	469
168	601	466
169	604	462
170	608	459
171	611	455
172	615	451
173	618	447
174	622	444
175	625	440
176	629	437
177	632	433
178	636	429
179	639	426
180	643	423
181	646	419
182	650	415
183	653	412
184	657	408
185	660	405
186	664	401
187	667	397
188	671	394
189	674	390
190	678	387
191	681	383
192	685	379
193	688	376
194	692	372
195	695	369
196	699	365
197	702	362
198	706	358
199	709	354
200	713	351
201	717	347
202	720	344
203	724	340
204	727	337
205	731	333
206	734	330
207	738	326
208	741	322
209	745	319
210	748	315
211	752	312
212	755	308
213	759	305
214	762	301
215	766	297
216	769	294
217	773	290
218	776	287
219	780	283
220	783	280
221	786	276
222	790	272
223	793	269
224	797	265
225	800	262
226	804	258
227	807	255
228	811	251
229	814	247
230	818	244
231	821	240
232	825	237
233	828	233
234	832	230
235	835	226
236	839	223
237	843	219
238	846	216
239	850	212
240	853	209
241	857	205
242	860	201
243	864	198
244	867	194
245	870	191
246	874	187
247	877	184
248	881	180
249	884	176
250	888	173
251	891	169
252	895	166
253	898	162
254	902	159
255	905	155
256	908	152
257	912	148
258	916	145
259	919	141
260	923	137
261	926	134
262	930	130
263	933	127
264	937	123
265	940	120
266	944	116
267	947	113
268	951	109
269	954	106
270	958	102
271	961	98
272	965	95
273	968	91
274	972	88
275	975	84
276	979	81
277	982	77
278	986	74
279	989	70
280	993	67
281	996	63
282	1000	60
283	1003	56
284	1007	53
285	1010	49
286	1014	45
287	1017	42
288	1021	38
289	1025	35
290	1028	31
291	1032	28
292	1035	24
293	1039	21
294	1043	17
295	1047	14
296	1052	10
297	1056	7
298	1060	3
299	1064	0
